0, 0.020715, -0.035907, -3.083093, home, -1;
1, 0.408727, -0.037989, -0.919820, none, -1;
2, 0.708857, -0.014001, 1.044403, none, -1;
3, 1.023994, -0.004468, 2.200878, none, -1;
4, 1.330305, 0.012109, 0.635089, none, -1;
5, 1.696381, 0.012350, 1.398291, none, -1;
6, 2.019594, 0.014131, -0.432574, none, -1;
7, 2.538298, 0.011426, -0.400998, none, -1;
8, 2.856776, 0.014226, 0.577725, none, -1;
9, 3.220704, 0.014322, -0.272507, none, -1;
10, 3.644259, 0.024193, 2.207523, none, -1;
11, 3.948647, 0.043362, 2.289566, none, -1;
12, 4.015647, 0.036736, -34.356801, none, -1;
13, 4.041128, 0.025911, -69.887049, none, -1;
14, 4.048468, -0.276324, -89.602164, none, -1;
15, 4.046876, -0.613470, -88.624730, none, -1;
16, 4.056014, -0.924223, -89.422046, none, -1;
17, 4.063320, -1.279905, -89.505463, none, -1;
18, 4.059239, -1.628571, -89.322666, none, -1;
19, 4.060062, -1.928111, -90.330884, 1, -1;
20, 4.066122, -1.922173, -52.899371, none, -1;
21, 4.068220, -1.923336, -22.555504, none, -1;
22, 4.068595, -1.928723, 11.609066, none, -1;
23, 4.067911, -1.921365, 42.391596, none, -1;
24, 4.079917, -1.920292, 82.987878, none, -1;
25, 4.082487, -1.611791, 85.234648, none, -1;
26, 4.114016, -1.307206, 86.197841, none, -1;
27, 4.120174, -0.974134, 87.949819, none, -1;
28, 4.142655, -0.465586, 87.956874, none, -1;
29, 4.155843, -0.164782, 86.612618, none, -1;
30, 4.157358, -0.108191, 121.412924, none, -1;
31, 4.159929, -0.105677, 154.701053, none, -1;
32, 3.822423, -0.092364, -177.531288, none, -1;
33, 3.480618, -0.110965, -178.141729, none, -1;
34, 2.735141, -0.106334, 179.529610, none, -1;
35, 2.361794, -0.105980, -178.800569, none, -1;
36, 1.716407, -0.094857, -179.534036, none, -1;
37, 1.246081, -0.066897, 176.200822, none, -1;
38, 0.835562, -0.038772, 176.172353, none, -1;
39, 0.246346, -0.005024, 178.845840, none, -1;
40, 0.101445, 0.000730, 148.304539, none, -1;
41, 0.096584, 0.020041, 111.599458, none, -1;
42, 0.108257, 0.035713, 79.749938, none, -1;
43, 0.104883, 0.041985, 48.471237, none, -1;
44, 0.088227, 0.045286, 16.960073, none, -1;
end
