0, -0.033840, -0.094143, -0.379795, home, -1;
1, 0.352251, -0.081321, 2.088111, none, -1;
2, 0.672806, -0.056826, 3.284524, none, -1;
3, 1.001670, -0.037521, 2.766261, none, -1;
4, 1.315558, -0.019289, 2.593280, none, -1;
5, 1.648304, -0.006509, 1.721166, none, -1;
6, 1.951196, -0.004105, 0.690704, none, -1;
7, 2.332732, 0.008816, 2.283858, none, -1;
8, 2.652413, 0.018649, 1.517804, none, -1;
9, 3.004798, 0.030448, 2.641471, none, -1;
10, 3.455472, 0.031421, 0.871521, none, -1;
11, 3.805148, 0.041624, 0.869474, none, -1;
12, 4.165300, 0.040157, 0.228142, none, -1;
13, 4.769766, 0.053216, 0.992417, none, -1;
14, 5.164320, 0.058663, 1.805573, none, -1;
15, 5.522242, 0.066752, 1.238937, none, -1;
16, 5.930692, 0.074704, 2.130726, none, -1;
17, 6.238639, 0.085055, 1.419624, none, -1;
18, 6.579858, 0.081034, -0.241779, none, -1;
19, 6.910367, 0.078586, 0.515016, none, -1;
20, 7.138649, 0.077427, -30.839598, none, -1;
21, 7.163216, 0.062242, -61.171167, none, -1;
22, 7.215035, -0.292962, -86.296490, none, -1;
23, 7.241254, -0.600150, -87.817183, none, -1;
24, 7.284785, -0.916500, -87.442090, none, -1;
25, 7.311692, -1.233516, -87.428341, none, -1;
26, 7.335055, -1.600435, -88.876996, none, -1;
27, 7.346027, -1.988077, -89.425140, none, -1;
28, 7.345493, -2.298219, -87.746184, none, -1;
29, 7.352053, -2.614148, -88.742626, none, -1;
30, 7.358084, -3.072325, -88.548109, none, -1;
31, 7.373062, -3.461098, -88.901606, none, -1;
32, 7.374570, -3.766170, -89.143736, none, -1;
33, 7.385140, -4.169326, -88.361324, none, -1;
34, 7.399440, -4.484124, -88.155052, none, -1;
35, 7.403964, -4.813558, -88.886040, none, -1;
36, 7.414596, -5.129762, -88.662214, none, -1;
37, 7.409200, -5.476326, -91.107900, none, -1;
38, 7.393211, -5.793784, -90.279904, none, -1;
39, 7.381820, -6.005211, -121.842611, none, -1;
40, 7.368230, -6.027606, -154.048961, none, -1;
41, 7.019286, -6.049716, -178.630170, none, -1;
42, 6.691767, -6.067039, -178.265164, none, -1;
43, 6.333880, -6.078794, -179.829551, none, -1;
44, 6.030092, -6.091253, -178.793425, none, -1;
45, 5.707541, -6.099517, -178.859951, none, -1;
46, 5.383411, -6.108134, -178.892531, none, -1;
47, 5.052000, -6.118399, -177.961590, none, -1;
48, 4.712595, -6.127407, -178.841837, none, -1;
49, 4.391639, -6.126958, -179.796247, none, -1;
50, 4.073707, -6.120408, 179.316781, none, -1;
51, 3.670037, -6.124454, -178.164774, none, -1;
52, 3.333374, -6.123600, -179.429780, none, -1;
53, 3.019034, -6.118907, -179.340796, none, -1;
54, 2.542864, -6.128155, -178.912215, none, -1;
55, 2.169628, -6.136583, -178.818205, none, -1;
56, 1.855722, -6.135875, -178.662900, none, -1;
57, 1.554336, -6.140102, 179.799115, none, -1;
58, 1.250722, -6.145720, -179.179317, none, -1;
59, 0.879969, -6.140428, -179.154359, none, -1;
60, 0.573268, -6.141005, -179.643114, none, -1;
61, 0.271028, -6.144751, -176.998192, none, -1;
62, 0.206699, -6.137701, 147.426655, none, -1;
63, 0.181527, -6.122904, 116.023221, none, -1;
64, 0.167073, -6.114577, 90.611468, 1, -1;
65, 0.131443, -5.780927, 92.297671, none, -1;
66, 0.101527, -5.470717, 92.565695, none, -1;
67, 0.071295, -5.125982, 93.196190, none, -1;
68, 0.028436, -4.760476, 92.610371, none, -1;
69, 0.019323, -4.413171, 92.317363, none, -1;
70, 0.002283, -4.101000, 92.985485, none, -1;
71, -0.012672, -3.796980, 92.100962, none, -1;
72, -0.025443, -3.481140, 91.534924, none, -1;
73, -0.029854, -3.153658, 91.477290, none, -1;
74, -0.044362, -2.839988, 92.386915, none, -1;
75, -0.055539, -2.505101, 91.729693, none, -1;
76, -0.066679, -2.196818, 92.685489, none, -1;
77, -0.082606, -1.893965, 92.868764, none, -1;
78, -0.097615, -1.577954, 91.972090, none, -1;
79, -0.112272, -1.268310, 93.550984, none, -1;
80, -0.129147, -0.895443, 93.707948, none, -1;
81, -0.134342, -0.539092, 91.879609, none, -1;
82, -0.136470, -0.230513, 91.776323, none, -1;
83, -0.127673, -0.055759, 59.205733, none, -1;
84, -0.093261, -0.013152, 24.396660, none, -1;
end
